image_id,sheet,excel_row,excel_column,project_raw,project_normalized,season,making,type,source_file,extracted_file,width,height,file_size,sha256,image_sequence,mapping_type,confidence,verification_status,notes
WINTER_HEEL__row_25__image18.png__a14,WINTER HEEL,25,6,Aurora/Camila,AURORA/CAMILA,WINTER,CONVYER,LADIES,image18.png,extracted-images/WINTER_HEEL/row_25/01.png,152,71,14598,07d813af6d54787ee7e46550b21b19cd9722c7c0d1482211458892d8ff563c9f,1,drawing_anchor,HIGH,VERIFIED,
WINTER_HEEL__row_26__image19.jpeg__a15,WINTER HEEL,26,6,Nova/Austin,NOVA/AUSTIN,WINTER,CONVYER,LADIES,image19.jpeg,extracted-images/WINTER_HEEL/row_26/01.jpeg,169,77,3456,93239b72871ead6b93d52d5e7adc3cb13ca008614a7b540b8cb6abf924e1ae3f,1,drawing_anchor,HIGH,VERIFIED,
WINTER_HEEL__row_27__image20.jpeg__a16,WINTER HEEL,27,6,Lyra,LYRA,WINTER,CONVYER,LADIES,image20.jpeg,extracted-images/WINTER_HEEL/row_27/01.jpeg,160,99,4195,d6abf917a3ac5a5d15a6ca5e8c031a42fc566a60bc8090c78c9dc05bfc42446b,1,drawing_anchor,HIGH,VERIFIED,
WINTER_HEEL__row_28__image21.jpeg__a17,WINTER HEEL,28,6,Luna,LUNA,WINTER,CONVYER,LADIES,image21.jpeg,extracted-images/WINTER_HEEL/row_28/01.jpeg,163,92,4019,4dfc19b988f28a442c6573b73f578e0d53bc50a8362740982a7bbe1ff72ff9cf,1,drawing_anchor,HIGH,VERIFIED,
WINTER_HEEL__row_30__image22.jpeg__a18,WINTER HEEL,30,6,Draco,DRACO,WINTER,CONVYER,LADIES,image22.jpeg,extracted-images/WINTER_HEEL/row_30/01.jpeg,161,103,3819,195368c94b2b18eea41e62f8cd26d0837d429cb9282d71cd721f8b92091b846d,1,drawing_anchor,HIGH,VERIFIED,
WINTER_HEEL__row_21__image23.png__a20,WINTER HEEL,21,6,BOLD,BOLD,WINTER,CONVYER,LADIES,image23.png,extracted-images/WINTER_HEEL/row_21/01.png,170,103,24658,e1a96c73a40c90f7d62a07341a4962b6617102d79c731b13654e832f290d5e91,1,drawing_anchor,HIGH,VERIFIED,
WINTER_HEEL__row_22__image24.png__a21,WINTER HEEL,22,6,"VINCI
WINTER",VINCI WINTER,WINTER,CONVYER,LADIES,image24.png,extracted-images/WINTER_HEEL/row_22/01.png,162,92,19861,c2061fe61b81aefc57edd8e86b1c3e367d069f0498901b65d672db5950b59551,1,drawing_anchor,HIGH,VERIFIED,
WINTER_HEEL__row_18__image25.png__a22,WINTER HEEL,18,6,KIZA,KIZA,WINTER / SUMMER,CONVYER,LADIES,image25.png,extracted-images/WINTER_HEEL/row_18/01.png,105,101,25681,128be2f2fa977b542759fcfa05668d9c2e19b41bd60c606349478f5ed26dda6b,1,drawing_anchor,HIGH,VERIFIED,
WINTER_HEEL__row_19__image26.jpeg__a23,WINTER HEEL,19,6,ROZY,ROZY,WINTER / SUMMER,CONVYER,LADIES,image26.jpeg,extracted-images/WINTER_HEEL/row_19/01.jpeg,166,93,2325,51e2fb0260fb6e39bcc30d2532e81896a70dff9cb23df5630290968a7ae39994,1,drawing_anchor,HIGH,VERIFIED,
WINTER_HEEL__row_16__image27.png__a24,WINTER HEEL,16,6,C-Height,C-HEIGHT,WINTER / SUMMER,CONVYER,LADIES,image27.png,extracted-images/WINTER_HEEL/row_16/01.png,91,138,34044,6207dc133ecbb82e76f2667ea30cc4f62a05624c9a6517d3a3cfcfe42fd73d6f,1,drawing_anchor,HIGH,VERIFIED,
WINTER_HEEL__row_10__image28.png__a25,WINTER HEEL,10,6,CARA,CARA,WINTER,CONVYER,LADIES,image28.png,extracted-images/WINTER_HEEL/row_10/01.png,143,100,21640,c119dc8b518ffee8b204c90ece82a71c86c21186f43a7ca7ca54da0432892c99,1,drawing_anchor,HIGH,VERIFIED,
WINTER_HEEL__row_9__image29.jpeg__a26,WINTER HEEL,9,6,Magnum,MAGNUM,WINTER,CONVYER,LADIES,image29.jpeg,extracted-images/WINTER_HEEL/row_9/01.jpeg,85,150,2984,ef5118c2ff64b1074548cd649c087462e82f61ba3f4e3c5e222582083a93eda7,1,drawing_anchor,HIGH,VERIFIED,
WINTER_HEEL__row_20__image30.png__a27,WINTER HEEL,20,6,MOROCO,MOROCO,WINTER,CONVYER,LADIES,image30.png,extracted-images/WINTER_HEEL/row_20/01.png,141,94,19964,0bcf9fbfcccc5eb088e44f5a1c5a2abce297ad59e4d85ec78b7192ca8b1593b3,1,drawing_anchor,HIGH,VERIFIED,
WINTER_HEEL__row_5__image31.png__a28,WINTER HEEL,5,6,7029,7029,WINTER / SUMMER,CONVYER,LADIES,image31.png,extracted-images/WINTER_HEEL/row_5/01.png,116,96,20987,94fbd0f738ef14aceedee71021d6c26c8caa30017392964491b84b662c018154,1,drawing_anchor,HIGH,VERIFIED,
WINTER_HEEL__row_13__image32.png__a29,WINTER HEEL,13,6,BLINDA,BLINDA,WINTER,CONVYER,LADIES,image32.png,extracted-images/WINTER_HEEL/row_13/02.png,5,116,1879,c39d1e7d3bc29361ed9aaaadbaf4e49b4cea2692015383b1d91c5d0800d51546,2,drawing_anchor,HIGH,VERIFIED,
WINTER_HEEL__row_13__image33.png__a30,WINTER HEEL,13,6,BLINDA,BLINDA,WINTER,CONVYER,LADIES,image33.png,extracted-images/WINTER_HEEL/row_13/01.png,159,91,25192,365f2329bbfe29484d5df87c7ae97f4e19f5a15868d6ad75e437dc985eb4bf49,1,drawing_anchor,HIGH,VERIFIED,
WINTER_FLAT__row_3__image34.jpeg__a0,WINTER FLAT,3,6,LESTON,LESTON,WINTER,CONVYER,LADIES,image34.jpeg,extracted-images/WINTER_FLAT/row_3/01.jpeg,159,103,4407,1eabc8e2d187539bc333fd83786face48fc3411a4f3e7c9eef756448fd85f334,1,drawing_anchor,HIGH,VERIFIED,
WINTER_FLAT__row_5__image35.png__a1,WINTER FLAT,5,6,RAVI,RAVI,WINTER,CONVYER,LADIES,image35.png,extracted-images/WINTER_FLAT/row_5/01.png,159,99,23157,4e243d4ab5bfabae2dcc1f8a1a75e728de6068daf85fb2603ef29bbc5a0139f7,1,drawing_anchor,HIGH,VERIFIED,
WINTER_FLAT__row_7__image36.png__a2,WINTER FLAT,7,6,PULSE,PULSE,WINTER,CONVYER,LADIES,image36.png,extracted-images/WINTER_FLAT/row_7/01.png,163,94,29325,0ba90f667867e44a158d04483a01305845dd15c043edd2b969b47504b191152a,1,drawing_anchor,HIGH,VERIFIED,
WINTER_FLAT__row_8__image37.png__a3,WINTER FLAT,8,6,INSIG,INSIG,WINTER,CONVYER,LADIES,image37.png,extracted-images/WINTER_FLAT/row_8/01.png,161,99,26130,8ed8261a644b09440127714959f1f1e6a8a24456dc8fc28b330833a6ccd3a3f1,1,drawing_anchor,HIGH,VERIFIED,
WINTER_FLAT__row_9__image38.png__a4,WINTER FLAT,9,6,QUEST,QUEST,WINTER,CONVYER,LADIES,image38.png,extracted-images/WINTER_FLAT/row_9/01.png,167,90,26566,1d41ebba0a56f89f9c8137af7febd7d6b4bef4d45d10faccde94a827c6093ae9,1,drawing_anchor,HIGH,VERIFIED,
WINTER_FLAT__row_10__image39.png__a5,WINTER FLAT,10,6,BLOOM,BLOOM,WINTER,CONVYER,LADIES,image39.png,extracted-images/WINTER_FLAT/row_10/01.png,166,96,30162,9fe7f9271ada02f916f9cb22be071965b984aaaf88de3f9e7cdd9f321abd7242,1,drawing_anchor,HIGH,VERIFIED,
WINTER_FLAT__row_11__image40.png__a6,WINTER FLAT,11,6,FLUX,FLUX,WINTER,CONVYER,LADIES,image40.png,extracted-images/WINTER_FLAT/row_11/01.png,160,95,28982,db3f887a8807c49a621aaa5b7365d71a9a669eff90670578b1f19d9cbc74ae2d,1,drawing_anchor,HIGH,VERIFIED,
WINTER_FLAT__row_12__image41.png__a7,WINTER FLAT,12,6,TIDE,TIDE,WINTER,CONVYER,LADIES,image41.png,extracted-images/WINTER_FLAT/row_12/02.png,167,94,29141,53590513cb3909d0d7f671daad650551cc6d462827c19f1071f33442d64e7b99,2,drawing_anchor,HIGH,VERIFIED,
WINTER_FLAT__row_13__image42.png__a8,WINTER FLAT,13,6,SPIRAL,SPIRAL,WINTER,CONVYER,LADIES,image42.png,extracted-images/WINTER_FLAT/row_13/02.png,101,168,9074,61902b78c83471c7a2460aa47feac04577fa911fa5b8c90c40b442af10e3ba08,2,drawing_anchor,HIGH,VERIFIED,
WINTER_FLAT__row_13__image43.png__a9,WINTER FLAT,13,6,SPIRAL,SPIRAL,WINTER,CONVYER,LADIES,image43.png,extracted-images/WINTER_FLAT/row_13/01.png,105,172,9362,91157afc3c7c8ce2da5a8a3ac964212011bc90b19b928dae61d34e55d7d6cdaa,1,drawing_anchor,HIGH,VERIFIED,
WINTER_FLAT__row_12__image44.png__a10,WINTER FLAT,12,6,TIDE,TIDE,WINTER,CONVYER,LADIES,image44.png,extracted-images/WINTER_FLAT/row_12/01.png,171,106,16861,e6aee70a33b4fd9d5675d460666173162dcb7cc1b6a4d34a37c4a00839f379d8,1,drawing_anchor,HIGH,VERIFIED,
WINTER_FLAT__row_14__image45.jpeg__a11,WINTER FLAT,14,6,COUNTRY,COUNTRY,WINTER,CONVYER,LADIES,image45.jpeg,extracted-images/WINTER_FLAT/row_14/01.jpeg,171,104,4873,ded8b584aad2841e6fa05788193dddefa5f11c6e8d84619f265a23696716071b,1,drawing_anchor,HIGH,VERIFIED,
WINTER_FLAT__row_15__image46.jpeg__a12,WINTER FLAT,15,6,SOLENT,SOLENT,WINTER,CONVYER,LADIES,image46.jpeg,extracted-images/WINTER_FLAT/row_15/01.jpeg,171,105,4048,a13ce6329fc47bda562a328291d9eac79ab33f7bd78c4f14d13d8c65e392c43a,1,drawing_anchor,HIGH,VERIFIED,
