sha256,source_file,sheet,excel_row,project_raw,extracted_file
e47807f306558bac95c1a82fe5cadccde56c898b0126f0464a6477929428dc56,image54.png,SUMMER PU,73,,extracted-images/_unmatched/SUMMER_PU/row_73/02.png
e47807f306558bac95c1a82fe5cadccde56c898b0126f0464a6477929428dc56,image54.png,SUMMER DIP PU,30,,extracted-images/_unmatched/SUMMER_DIP_PU/row_30/02.png
e47807f306558bac95c1a82fe5cadccde56c898b0126f0464a6477929428dc56,image54.png,SUMMER DIP PVC,18,,extracted-images/_unmatched/SUMMER_DIP_PVC/row_18/02.png
b5f3db030fe05a641532a968899087274c53ca7f66375af936ef2cd9454e6067,image55.png,WINTER FLAT,39,,extracted-images/_unmatched/WINTER_FLAT/row_39/01.png
b5f3db030fe05a641532a968899087274c53ca7f66375af936ef2cd9454e6067,image55.png,WINTER PU,16,,extracted-images/_unmatched/WINTER_PU/row_16/01.png
b5f3db030fe05a641532a968899087274c53ca7f66375af936ef2cd9454e6067,image55.png,WINTER DIP PU,19,,extracted-images/_unmatched/WINTER_DIP_PU/row_19/01.png
b5f3db030fe05a641532a968899087274c53ca7f66375af936ef2cd9454e6067,image55.png,WINTER DIP PVC,38,,extracted-images/_unmatched/WINTER_DIP_PVC/row_38/01.png
b5f3db030fe05a641532a968899087274c53ca7f66375af936ef2cd9454e6067,image55.png,SUMMER HEEL,48,,extracted-images/_unmatched/SUMMER_HEEL/row_48/01.png
b5f3db030fe05a641532a968899087274c53ca7f66375af936ef2cd9454e6067,image55.png,SUMMER PU,73,,extracted-images/_unmatched/SUMMER_PU/row_73/01.png
b5f3db030fe05a641532a968899087274c53ca7f66375af936ef2cd9454e6067,image55.png,SUMMER DIP PU,30,,extracted-images/_unmatched/SUMMER_DIP_PU/row_30/01.png
b5f3db030fe05a641532a968899087274c53ca7f66375af936ef2cd9454e6067,image55.png,SUMMER DIP PVC,18,,extracted-images/_unmatched/SUMMER_DIP_PVC/row_18/01.png
40e0f223c9c44effb55cab311c96e2ef9a08908ba1616f2334d3e7c3ad9ce4b2,image112.jpeg,SUMMER HEEL,29,Lia-Wedge,extracted-images/SUMMER_HEEL/row_29/01.jpeg
40e0f223c9c44effb55cab311c96e2ef9a08908ba1616f2334d3e7c3ad9ce4b2,image112.jpeg,SUMMER PU,51,Lia-Wedge,extracted-images/SUMMER_PU/row_51/01.jpeg
b05246fd7a0b169f0383c9fa36f2bbda32759e84a8813066d541c59e58b39721,image184.jpeg,SUMMER PU,25,APRICOT,extracted-images/SUMMER_PU/row_25/02.jpeg
b05246fd7a0b169f0383c9fa36f2bbda32759e84a8813066d541c59e58b39721,image184.jpeg,SUMMER PU,25,APRICOT,extracted-images/SUMMER_PU/row_25/01.jpeg
b05246fd7a0b169f0383c9fa36f2bbda32759e84a8813066d541c59e58b39721,image184.jpeg,SUMMER DIP PU,19,OSCAR,extracted-images/SUMMER_DIP_PU/row_19/01.jpeg
1bbef1423956c7ad29f268f9205e1b79d61dba807bc304dbc6a7a7b377c7f797,image187.jpeg,SUMMER PU,27,TORINO,extracted-images/SUMMER_PU/row_27/01.jpeg
1bbef1423956c7ad29f268f9205e1b79d61dba807bc304dbc6a7a7b377c7f797,image187.jpeg,SUMMER DIP PU,5,BIANCA,extracted-images/SUMMER_DIP_PU/row_5/05.jpeg
357517003b48843eee6ceb1b11b6dd8235fa6188cd4ea73658865add95515df0,image188.jpeg,SUMMER PU,28,KERONA,extracted-images/SUMMER_PU/row_28/01.jpeg
357517003b48843eee6ceb1b11b6dd8235fa6188cd4ea73658865add95515df0,image188.jpeg,SUMMER DIP PU,5,BIANCA,extracted-images/SUMMER_DIP_PU/row_5/01.jpeg
05bcd3ab772137d961fc4f5fdb4b25a71ab725abfdc1f42ff7e974c9fd252754,image189.jpeg,SUMMER PU,29,COMO,extracted-images/SUMMER_PU/row_29/01.jpeg
05bcd3ab772137d961fc4f5fdb4b25a71ab725abfdc1f42ff7e974c9fd252754,image189.jpeg,SUMMER DIP PU,5,BIANCA,extracted-images/SUMMER_DIP_PU/row_5/02.jpeg
0e2a111cd7ebc869f7c25356d2d688c7286859c6afe335f669665210bcde2e87,image191.jpeg,SUMMER PU,31,TOKYO,extracted-images/SUMMER_PU/row_31/01.jpeg
0e2a111cd7ebc869f7c25356d2d688c7286859c6afe335f669665210bcde2e87,image191.jpeg,SUMMER DIP PU,5,BIANCA,extracted-images/SUMMER_DIP_PU/row_5/06.jpeg
