sheet,excel_row,source_id,no,season,making,type,project,picture,size_range,qty,material,colour,remarks,season_normalized,making_normalized,type_normalized,project_normalized
SUMMER FLAT,25,SUMMER FLAT::25,23,SUMMER,CONVYER,LADIES,Maya,.,37/M,.,TPR,.,,SUMMER,CONVEYOR,LADIES,MAYA
SUMMER FLAT,26,SUMMER FLAT::26,24,SUMMER,CONVYER,LADIES,Cosmo,.,37/M,.,TPR/PU,.,,SUMMER,CONVEYOR,LADIES,COSMO
SUMMER FLAT,27,SUMMER FLAT::27,25,SUMMER,CONVYER,LADIES,Elsa,.,37/M,.,TPR,.,,SUMMER,CONVEYOR,LADIES,ELSA
SUMMER FLAT,28,SUMMER FLAT::28,26,SUMMER,CONVYER,LADIES,Kava,.,37/M,.,TPR,.,,SUMMER,CONVEYOR,LADIES,KAVA
SUMMER FLAT,29,SUMMER FLAT::29,27,SUMMER,CONVYER,LADIES,Homer,.,37/M,.,TPR,.,,SUMMER,CONVEYOR,LADIES,HOMER
SUMMER FLAT,30,SUMMER FLAT::30,28,SUMMER,CONVYER,LADIES,Godwin,.,37/M,.,PU,.,,SUMMER,CONVEYOR,LADIES,GODWIN
SUMMER FLAT,31,SUMMER FLAT::31,29,SUMMER,CONVYER,LADIES,Eclipse,.,37/M,.,PU,.,,SUMMER,CONVEYOR,LADIES,ECLIPSE
SUMMER FLAT,32,SUMMER FLAT::32,30,SUMMER,CONVYER,LADIES,New Berlin,.,37/M,.,TPR,.,,SUMMER,CONVEYOR,LADIES,NEW BERLIN
SUMMER FLAT,33,SUMMER FLAT::33,31,SUMMER,CONVYER,LADIES,New Candy,.,37/M,.,TPR,.,,SUMMER,CONVEYOR,LADIES,NEW CANDY
SUMMER FLAT,34,SUMMER FLAT::34,32,SUMMER,CONVYER,LADIES,Insignia-T,.,37/M,.,TPR,.,,SUMMER,CONVEYOR,LADIES,INSIGNIA-T
SUMMER FLAT,35,SUMMER FLAT::35,33,SUMMER,CONVYER,LADIES,Insignia-R,.,37/M,.,TPR,.,,SUMMER,CONVEYOR,LADIES,INSIGNIA-R
SUMMER FLAT,36,SUMMER FLAT::36,34,SUMMER,CONVYER,LADIES,Flammer,.,37/M,.,TPR,.,,SUMMER,CONVEYOR,LADIES,FLAMMER
SUMMER FLAT,37,SUMMER FLAT::37,35,SUMMER,CONVYER,LADIES,AS-08,,,,,,,SUMMER,CONVEYOR,LADIES,AS-08
SUMMER FLAT,38,SUMMER FLAT::38,36,SUMMER,CONVYER,LADIES,AS-09,,,,,,,SUMMER,CONVEYOR,LADIES,AS-09
SUMMER FLAT,39,SUMMER FLAT::39,37,SUMMER,CONVYER,LADIES,AS-10,,,,,,,SUMMER,CONVEYOR,LADIES,AS-10
SUMMER FLAT,40,SUMMER FLAT::40,38,SUMMER,CONVYER,LADIES,AS-11,,,,,,,SUMMER,CONVEYOR,LADIES,AS-11
SUMMER FLAT,41,SUMMER FLAT::41,39,SUMMER,CONVYER,LADIES,K-VPI,.,37/M,.,TPR,.,,SUMMER,CONVEYOR,LADIES,K-VPI
SUMMER PU,3,SUMMER PU::3,1,SUMMER,CONVYER,LADIES,STERLING,Picture,38,.,PU/PVC,CREAM,,SUMMER,CONVEYOR,LADIES,STERLING
SUMMER PU,4,SUMMER PU::4,2,SUMMER,CONVYER,LADIES,BELFAST,Picture,38,.,PU/PVC,CREAM,,SUMMER,CONVEYOR,LADIES,BELFAST
SUMMER PU,5,SUMMER PU::5,3,SUMMER,CONVYER,LADIES,YONKERS,Picture,36-41,12,PU,BROWN,,SUMMER,CONVEYOR,LADIES,YONKERS
SUMMER PU,6,SUMMER PU::6,4,SUMMER,CONVYER,LADIES,"FOSHAN
25601",Picture,36-41,-,PU,BEIGE,,SUMMER,CONVEYOR,LADIES,FOSHAN 25601
SUMMER PU,7,SUMMER PU::7,5,SUMMER,CONVYER,LADIES,"DHAKA
HN25071",Picture,36-41,6,PU,BLACK,,SUMMER,CONVEYOR,LADIES,DHAKA HN25071
SUMMER PU,8,SUMMER PU::8,6,SUMMER,CONVYER,LADIES,"FIJI
HN25181",Picture,36-41,6,PU,BLACK,,SUMMER,CONVEYOR,LADIES,FIJI HN25181
SUMMER PU,9,SUMMER PU::9,7,SUMMER,CONVYER,LADIES,"COMFORTY
HN23963",Picture,36-41,6,PU,BLACK,,SUMMER,CONVEYOR,LADIES,COMFORTY HN23963
SUMMER PU,10,SUMMER PU::10,8,SUMMER,CONVYER,LADIES,"CHICAGO
25606",Picture,36-41,6,PU,BLACK,,SUMMER,CONVEYOR,LADIES,CHICAGO 25606
SUMMER PU,11,SUMMER PU::11,9,SUMMER,CONVYER,LADIES,JAKARTA,Picture,36-41,6,EVA,BLACK,,SUMMER,CONVEYOR,LADIES,JAKARTA
SUMMER PU,12,SUMMER PU::12,10,SUMMER,CONVYER,LADIES,"CAIRO
HN25150",Picture,36-41,6,PU,BLACK,,SUMMER,CONVEYOR,LADIES,CAIRO HN25150
SUMMER PU,13,SUMMER PU::13,11,SUMMER,CONVYER,LADIES,JASPER,Picture,36-41,6,PU,BLACK,,SUMMER,CONVEYOR,LADIES,JASPER
SUMMER PU,14,SUMMER PU::14,12,SUMMER,CONVYER,LADIES,"ROSE
HN23508",Picture,36-41,6,PU,BLACK,,SUMMER,CONVEYOR,LADIES,ROSE HN23508
SUMMER PU,15,SUMMER PU::15,13,SUMMER,CONVYER,LADIES,"KINIYA
7218",Picture,36-41,6,PU,BLACK,,SUMMER,CONVEYOR,LADIES,KINIYA 7218
SUMMER PU,16,SUMMER PU::16,14,SUMMER,CONVYER,LADIES,BUSAN 25600 8498/8670,Picture,36-41,6,PU,BLACK,,SUMMER,CONVEYOR,LADIES,BUSAN 25600 8498/8670
SUMMER PU,17,SUMMER PU::17,15,SUMMER,CONVYER,LADIES,"DURBAN
HN25377",Picture,36-41,6,PU,BLACK,,SUMMER,CONVEYOR,LADIES,DURBAN HN25377
SUMMER PU,18,SUMMER PU::18,16,SUMMER,CONVYER,LADIES,"WARI
21038",Picture,36-41,6,PU,BLACK,,SUMMER,CONVEYOR,LADIES,WARI 21038
SUMMER PU,19,SUMMER PU::19,17,SUMMER,CONVYER,LADIES,"FLORA
23363",Picture,36-41,6,PU,BLACK,,SUMMER,CONVEYOR,LADIES,FLORA 23363
SUMMER PU,20,SUMMER PU::20,18,SUMMER,CONVYER,LADIES,"CLIFTON
GP83",Picture,36-41,6,PU,BLACK,,SUMMER,CONVEYOR,LADIES,CLIFTON GP83
SUMMER PU,21,SUMMER PU::21,19,SUMMER,CONVYER,LADIES,KIPP,Picture,36-41,8,PU,CREAM,,SUMMER,CONVEYOR,LADIES,KIPP
SUMMER PU,22,SUMMER PU::22,20,SUMMER,CONVYER,LADIES,PAEROA,Picture,37,Proto,PU,CREAM,,SUMMER,CONVEYOR,LADIES,PAEROA
SUMMER PU,23,SUMMER PU::23,21,SUMMER,CONVYER,LADIES,Brooks,Picture,37,Proto,PU,CREAM,,SUMMER,CONVEYOR,LADIES,BROOKS
SUMMER PU,24,SUMMER PU::24,22,SUMMER,CONVYER,LADIES,PISA,Picture,37,Proto,PU,BLACK,,SUMMER,CONVEYOR,LADIES,PISA
SUMMER PU,25,SUMMER PU::25,23,SUMMER,CONVYER,LADIES,APRICOT,Picture,38,Proto,PU,CREAM,,SUMMER,CONVEYOR,LADIES,APRICOT
SUMMER PU,26,SUMMER PU::26,24,SUMMER,CONVYER,LADIES,BRIN,Picture,31,Proto,PU,BLACK,,SUMMER,CONVEYOR,LADIES,BRIN
SUMMER PU,27,SUMMER PU::27,25,SUMMER,CONVYER,LADIES,TORINO,Picture,37,Proto,PU,BLACK,,SUMMER,CONVEYOR,LADIES,TORINO
SUMMER PU,28,SUMMER PU::28,26,SUMMER,CONVYER,LADIES,KERONA,Picture,37,Proto,PU,BLACK,Waiting for Series,SUMMER,CONVEYOR,LADIES,KERONA
SUMMER PU,29,SUMMER PU::29,27,SUMMER,CONVYER,LADIES,COMO,Picture,37,Proto,PU,BLACK,Waiting for Series,SUMMER,CONVEYOR,LADIES,COMO
SUMMER PU,30,SUMMER PU::30,28,SUMMER,CONVYER,LADIES,SOLARIS,Picture,37,Proto,PU/TPR,BLACK,Footbed Pu & Outsole TPR,SUMMER,CONVEYOR,LADIES,SOLARIS
SUMMER PU,31,SUMMER PU::31,29,SUMMER,CONVYER,LADIES,TOKYO,Picture,38,.,PU ,CREAM,,SUMMER,CONVEYOR,LADIES,TOKYO
SUMMER PU,32,SUMMER PU::32,30,SUMMER,CONVYER,LADIES,PREZI,Picture,38,.,PU,CREAM,,SUMMER,CONVEYOR,LADIES,PREZI
SUMMER PU,33,SUMMER PU::33,31,SUMMER,CONVYER,LADIES,LOTUS,Picture,38,.,PU,CREAM,,SUMMER,CONVEYOR,LADIES,LOTUS
SUMMER PU,34,SUMMER PU::34,32,SUMMER,CONVYER,KIDS,QUARK,Picture,28,Proto,PU,CREAM,SOLE With Footbed ,SUMMER,CONVEYOR,KIDS,QUARK
SUMMER PU,35,SUMMER PU::35,33,SUMMER,CONVYER,LADIES,SELFORD,Picture,38,Proto,PU,WHITE,,SUMMER,CONVEYOR,LADIES,SELFORD
SUMMER PU,36,SUMMER PU::36,34,SUMMER,CONVYER,LADIES,HN-22930,Picture,38,.,PU,CREAM,,SUMMER,CONVEYOR,LADIES,HN-22930
SUMMER PU,37,SUMMER PU::37,35,SUMMER,CONVYER,LADIES,H002,Picture,38,.,PU,CREAM,,SUMMER,CONVEYOR,LADIES,H002
SUMMER PU,38,SUMMER PU::38,36,SUMMER,CONVYER,LADIES,H004,Picture,38,.,PU,CREAM,,SUMMER,CONVEYOR,LADIES,H004
SUMMER PU,39,SUMMER PU::39,37,SUMMER,CONVYER,LADIES,WEST,Picture,38,.,PU,CREAM,,SUMMER,CONVEYOR,LADIES,WEST
SUMMER PU,40,SUMMER PU::40,38,SUMMER,CONVYER,LADIES,25620 SOLE,Picture,37,.,PU ,BLACK,,SUMMER,CONVEYOR,LADIES,25620 SOLE
SUMMER PU,41,SUMMER PU::41,39,SUMMER,CONVYER,LADIES,25620,Picture,37,.,PU FOOTBED,BLACK,,SUMMER,CONVEYOR,LADIES,25620
SUMMER PU,42,SUMMER PU::42,40,SUMMER,CONVYER,LADIES,DERBY,Picture,37,.,PU ,BLACK,,SUMMER,CONVEYOR,LADIES,DERBY
SUMMER PU,43,SUMMER PU::43,41,SUMMER,CONVYER,LADIES,RENO,Picture,37,.,PU ,BLACK,,SUMMER,CONVEYOR,LADIES,RENO
SUMMER PU,44,SUMMER PU::44,42,SUMMER,CONVYER,LADIES,CHESTOR,Picture,37,.,PU ,BLACK,,SUMMER,CONVEYOR,LADIES,CHESTOR
SUMMER PU,45,SUMMER PU::45,43,SUMMER,CONVYER,LADIES,VICTORIA,Picture,37,.,PU,.,,SUMMER,CONVEYOR,LADIES,VICTORIA
SUMMER PU,46,SUMMER PU::46,44,SUMMER,CONVYER,LADIES,HARLEY,.,36.41,.,LIQUID PVC,.,Sole With Liquid PVC,SUMMER,CONVEYOR,LADIES,HARLEY
SUMMER PU,47,SUMMER PU::47,45,SUMMER,CONVYER,LADIES,Blasé,.,36-42,.,PU,.,,SUMMER,CONVEYOR,LADIES,BLASÉ
SUMMER PU,48,SUMMER PU::48,46,SUMMER,CONVYER,LADIES,BLOSIM,.,36-42,.,PVC,.,,SUMMER,CONVEYOR,LADIES,BLOSIM
SUMMER PU,49,SUMMER PU::49,47,SUMMER,CONVYER,LADIES,BLUMA,.,37/M,.,PU,.,,SUMMER,CONVEYOR,LADIES,BLUMA
SUMMER PU,50,SUMMER PU::50,48,SUMMER,CONVYER,LADIES,BRENNA,.,37/M,.,PU,.,,SUMMER,CONVEYOR,LADIES,BRENNA
SUMMER PU,51,SUMMER PU::51,49,SUMMER,CONVYER,LADIES,Lia-Wedge,.,37/M,-,Wedge Sole,.,,SUMMER,CONVEYOR,LADIES,LIA-WEDGE
SUMMER PU,52,SUMMER PU::52,50,SUMMER,CONVYER,LADIES,ANDORA,.,36-41,.,PVC,.,,SUMMER,CONVEYOR,LADIES,ANDORA
SUMMER PU,53,SUMMER PU::53,51,SUMMER,CONVYER,LADIES,Ocean,.,37/M,.,PU,.,,SUMMER,CONVEYOR,LADIES,OCEAN
SUMMER PU,54,SUMMER PU::54,52,SUMMER,CONVYER,LADIES,Venus,.,37/M,.,PU,.,,SUMMER,CONVEYOR,LADIES,VENUS
SUMMER PU,55,SUMMER PU::55,53,SUMMER,CONVYER,LADIES,Amber,.,37/M,.,PU,.,,SUMMER,CONVEYOR,LADIES,AMBER
SUMMER PU,56,SUMMER PU::56,54,SUMMER,CONVYER,LADIES,Jade,.,37/M,.,PU,.,,SUMMER,CONVEYOR,LADIES,JADE
SUMMER PU,57,SUMMER PU::57,55,SUMMER,CONVYER,LADIES,Flare,.,37/M,.,PU,.,,SUMMER,CONVEYOR,LADIES,FLARE
SUMMER PU,58,SUMMER PU::58,56,SUMMER,CONVYER,LADIES,Nexon,.,37/M,.,PU,.,,SUMMER,CONVEYOR,LADIES,NEXON
SUMMER PU,59,SUMMER PU::59,57,SUMMER,CONVYER,LADIES,Cosmo,.,37/M,.,TPR/PU,.,,SUMMER,CONVEYOR,LADIES,COSMO
SUMMER PU,60,SUMMER PU::60,58,SUMMER,CONVYER,LADIES,Bubble,.,37/M,.,PU,.,,SUMMER,CONVEYOR,LADIES,BUBBLE
SUMMER PU,61,SUMMER PU::61,59,SUMMER,CONVYER,LADIES,Merida,.,37/M,.,PU,.,,SUMMER,CONVEYOR,LADIES,MERIDA
SUMMER PU,62,SUMMER PU::62,59,SUMMER,CONVYER,LADIES,Helder,.,37/M,.,PU,.,,SUMMER,CONVEYOR,LADIES,HELDER
SUMMER PU,63,SUMMER PU::63,60,SUMMER,CONVYER,LADIES,Cork,.,37/M,.,PVC,.,,SUMMER,CONVEYOR,LADIES,CORK
SUMMER DIP PU,3,SUMMER DIP PU::3,1,SUMMER,DIP,LADIES,BALLY,Picture,36-41,12,PU,BROWN,,SUMMER,DIP,LADIES,BALLY
SUMMER DIP PU,4,SUMMER DIP PU::4,2,SUMMER,DIP,LADIES,BUFFY,Picture,36-41,12,.,BROWN,,SUMMER,DIP,LADIES,BUFFY
SUMMER DIP PU,5,SUMMER DIP PU::5,3,SUMMER,DIP,LADIES,BIANCA,Picture,38,.,PU,CREAM,,SUMMER,DIP,LADIES,BIANCA
SUMMER DIP PU,6,SUMMER DIP PU::6,4,SUMMER,DIP,LADIES,BELTA,Picture,36-41,12,.,BEIGE,,SUMMER,DIP,LADIES,BELTA
SUMMER DIP PU,7,SUMMER DIP PU::7,5,SUMMER,DIP,"LADIES / 
KIDS",BENIN,Picture,28-35/36-41,14-12,.,BEIGE,,SUMMER,DIP,LADIES / KIDS,BENIN
SUMMER DIP PU,8,SUMMER DIP PU::8,6,SUMMER,DIP,LADIES,CREST,Picture,36-41,12,PU,BLACK,,SUMMER,DIP,LADIES,CREST
SUMMER DIP PU,9,SUMMER DIP PU::9,7,SUMMER,DIP,LADIES,"ORBIT
2025",Picture,36-41,12,PU,BLACK,,SUMMER,DIP,LADIES,ORBIT 2025
SUMMER DIP PU,10,SUMMER DIP PU::10,8,SUMMER,DIP,LADIES,MILTON,Picture,37,1,PU Shoe,BLACK,,SUMMER,DIP,LADIES,MILTON
SUMMER DIP PU,11,SUMMER DIP PU::11,9,SUMMER,DIP,LADIES,RATORUA,Picture,37,1,PU Shoe,BLACK,Waiting for Mold Series,SUMMER,DIP,LADIES,RATORUA
SUMMER DIP PU,12,SUMMER DIP PU::12,10,SUMMER,DIP,LADIES,TIMARU,Picture,37,1,PU,CREAM,Waiting for Mold Series,SUMMER,DIP,LADIES,TIMARU
SUMMER DIP PU,13,SUMMER DIP PU::13,11,SUMMER,DIP,LADIES,GISBORING,Picture,38,Proto,PU,.,Waiting for Mold Series,SUMMER,DIP,LADIES,GISBORING
SUMMER DIP PU,14,SUMMER DIP PU::14,12,SUMMER,DIP,KIDS,"JACK
",Picture,28-37,13,PU Shoe,BLACK,,SUMMER,DIP,KIDS,JACK
SUMMER DIP PU,15,SUMMER DIP PU::15,13,SUMMER,DIP,KIDS,"GIA
",Picture,28-36,13,PU Shoe,BLACK,,SUMMER,DIP,KIDS,GIA
SUMMER DIP PU,16,SUMMER DIP PU::16,14,SUMMER,DIP,LADIES,CHERRY,Picture,36-41,12,PU,CREAM,Mold Under Trial,SUMMER,DIP,LADIES,CHERRY
SUMMER DIP PU,17,SUMMER DIP PU::17,15,SUMMER,DIP,LADIES,SUSAN,Picture,36-41,12,PU,CREAM,,SUMMER,DIP,LADIES,SUSAN
SUMMER DIP PU,18,SUMMER DIP PU::18,16,SUMMER,DIP,LADIES,YURI,Picture,38,1,PU,CREAM,,SUMMER,DIP,LADIES,YURI
SUMMER DIP PU,19,SUMMER DIP PU::19,17,SUMMER,DIP,LADIES,OSCAR,Picture,38,1,PU,.,,SUMMER,DIP,LADIES,OSCAR
SUMMER DIP PU,20,SUMMER DIP PU::20,18,SUMMER,DIP,KIDS,BUFFY,Picture,31,Proto,PU,BLACK,,SUMMER,DIP,KIDS,BUFFY
SUMMER DIP PVC,3,SUMMER DIP PVC::3,1,SUMMER,DIP,LADIES,NOVA,Picture,36 -41,12,PVC,WHITE,"Sole with Strap
BENLONG",SUMMER,DIP,LADIES,NOVA
SUMMER DIP PVC,4,SUMMER DIP PVC::4,2,SUMMER,DIP,LADIES,CHIK,Picture,36-41,12,PVC,WHITE,"Sole with Strap
BENLONG",SUMMER,DIP,LADIES,CHIK
SUMMER DIP PVC,5,SUMMER DIP PVC::5,3,SUMMER,DIP,LADIES,CALGORY,Picture,37,"1pair
PROTO",PVC,WHITE,BENLONG,SUMMER,DIP,LADIES,CALGORY
SUMMER DIP PVC,6,SUMMER DIP PVC::6,4,SUMMER,DIP,LADIES,RIPPLE,Picture,37,"1pair
PROTO",PVC,BEIGE,BENLONG,SUMMER,DIP,LADIES,RIPPLE
SUMMER DIP PVC,7,SUMMER DIP PVC::7,5,SUMMER,CONVYER,LADIES,DARFIELD,Picture,37,1pair,PVC,White And Maroon,"Double Color Sole
BENLONG",SUMMER,CONVEYOR,LADIES,DARFIELD
SUMMER DIP PVC,8,SUMMER DIP PVC::8,6,SUMMER,DIP,KIDS,GL001,Picture,28-35,.,PVC,WHITE,"Sole with Strap
BENLONG",SUMMER,DIP,KIDS,GL001
SUMMER DIP PVC,9,SUMMER DIP PVC::9,7,SUMMER,DIP,LADIES,Footbed,Mr.G.P,37,.,PVC,WHITE,Collect from Saad Sb,SUMMER,DIP,LADIES,FOOTBED
