sheet,excel_row,project_raw,season,making,type,image_count,status,notes
WINTER DIP PVC,3,Casper,WINTER,DIP,KIDS,1,HAS_IMAGE,
WINTER DIP PVC,4,Dora,WINTER,DIP,KIDS,2,HAS_IMAGE,2 images anchored to this row
WINTER DIP PVC,5,SKATE,WINTER,DIP,KIDS,1,HAS_IMAGE,
WINTER DIP PVC,6,RIVO,WINTER,DIP,LADIES,1,HAS_IMAGE,
WINTER DIP PVC,7,BRIGHT,WINTER,DIP,LADIES,1,HAS_IMAGE,
WINTER DIP PVC,8,WAX,WINTER,DIP,LADIES,1,HAS_IMAGE,
WINTER DIP PVC,9,PRISIM,WINTER,DIP,LADIES,1,HAS_IMAGE,
WINTER DIP PVC,10,VIVID,WINTER,DIP,LADIES,2,HAS_IMAGE,2 images anchored to this row
WINTER DIP PVC,11,VOGUE,WINTER,DIP,LADIES,1,HAS_IMAGE,
WINTER DIP PVC,12,ECHO,WINTER,DIP,LADIES,1,HAS_IMAGE,
WINTER DIP PVC,13,ESSENCE,WINTER,DIP,LADIES,2,HAS_IMAGE,2 images anchored to this row
WINTER DIP PVC,14,NOVA,WINTER,DIP,LADIES,1,HAS_IMAGE,
WINTER DIP PVC,15,JETTY,WINTER,DIP,LADIES,1,HAS_IMAGE,
WINTER DIP PVC,16,JAFNA,WINTER,DIP,LADIES,1,HAS_IMAGE,
WINTER DIP PVC,17,JAIN,WINTER,DIP,LADIES,1,HAS_IMAGE,
WINTER DIP PVC,18,BENNY-K,WINTER,DIP,KIDS,1,HAS_IMAGE,
WINTER DIP PVC,19,25009,WINTER,DIP,GENTS,1,HAS_IMAGE,
WINTER DIP PVC,20,HOPE,WINTER,DIP,KIDS,1,HAS_IMAGE,
WINTER DIP PVC,21,BERENA,WINTER,DIP,KIDS,1,HAS_IMAGE,
WINTER DIP PVC,22,ASOLO,WINTER,DIP,LADIES,1,HAS_IMAGE,
WINTER DIP PVC,23,BOZEN,WINTER,DIP,LADIES,1,HAS_IMAGE,
WINTER DIP PVC,24,AMALIA,WINTER,DIP,KIDS,1,HAS_IMAGE,
WINTER DIP PVC,25,RIVER,WINTER,DIP,KIDS,1,HAS_IMAGE,
WINTER DIP PVC,26,LIAM,WINTER,DIP,KIDS,1,HAS_IMAGE,
WINTER DIP PVC,27,ALINA,WINTER,DIP,KIDS,1,HAS_IMAGE,
WINTER DIP PVC,28,MARIA,WINTER,DIP,KIDS,0,NO_IMAGE,No drawing-anchor image mapped to this article row
SUMMER HEEL,3,7026,WINTER / SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER HEEL,4,"SLIP
(40179)",WINTER / SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER HEEL,5,Breeze,WINTER / SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER HEEL,6,7070,SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER HEEL,7,714,SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER HEEL,8,KELLY,WINTER / SUMMER,CONVYER,LADIES,0,NO_IMAGE,No drawing-anchor image mapped to this article row
SUMMER HEEL,9,3232,SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER HEEL,10,Bonita,SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER HEEL,11,Reef,WINTER / SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER HEEL,12,Zeeta paint,WINTER / SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER HEEL,13,ZETA R,SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER HEEL,14,ZETA T,SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER HEEL,15,ORION,WINTER / SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER HEEL,16,River,WINTER / SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER HEEL,17,2927,SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER HEEL,18,7029,WINTER / SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER HEEL,19,Star,SUMMER,CONVYER,LADIES,2,HAS_IMAGE,2 images anchored to this row
SUMMER HEEL,20,7046,SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER HEEL,21,C-Height,WINTER / SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER HEEL,22,Cara,WINTER / SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER HEEL,23,40179,WINTER / SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER HEEL,24,C-15,SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER HEEL,25,BRIGHT,SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER HEEL,26,KIZA,WINTER / SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER HEEL,27,Apple,SUMMER,CONVYER,LADIES,0,NO_IMAGE,No drawing-anchor image mapped to this article row
SUMMER HEEL,28,XY-521,SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER HEEL,29,Lia-Wedge,SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER HEEL,30,ROZY,WINTER / SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER HEEL,31,SHANGRILLA,SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER HEEL,32,BLUE,WINTER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER HEEL,33,1263,SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER HEEL,34,888-8,SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER HEEL,35,6989,SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER HEEL,36,7303,SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER HEEL,37,22043,SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER HEEL,38,TALLY,SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER FLAT,3,GLIP,SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER FLAT,4,BAYLA,SUMMER,CONVYER,LADIES,2,HAS_IMAGE,2 images anchored to this row
SUMMER FLAT,5,RENERA,SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER FLAT,6,VOILET,SUMMER,CONVYER,LADIES,2,HAS_IMAGE,2 images anchored to this row
SUMMER FLAT,7,LEAVI,SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER FLAT,8,GL006,SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER FLAT,9,CAPRICE,WINTER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER FLAT,10,8680,SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER FLAT,11,8681,SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER FLAT,12,DRIFT,SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER FLAT,13,LAVA,SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER FLAT,14,BELGIUM,SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER FLAT,15,TOGO,SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER FLAT,16,TROUT,SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER FLAT,17,Renela,SUMMER,CONVYER,LADIES,2,HAS_IMAGE,2 images anchored to this row
SUMMER FLAT,18,Vision,SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER FLAT,19,AS-45,SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER FLAT,20,FLYER,SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER FLAT,21,Hitler,SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER FLAT,22,Swift,SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER FLAT,23,Scar,SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER FLAT,24,Eric,SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER FLAT,25,Maya,SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER FLAT,26,Cosmo,SUMMER,CONVYER,LADIES,0,NO_IMAGE,No drawing-anchor image mapped to this article row
SUMMER FLAT,27,Elsa,SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER FLAT,28,Kava,SUMMER,CONVYER,LADIES,0,NO_IMAGE,No drawing-anchor image mapped to this article row
SUMMER FLAT,29,Homer,SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER FLAT,30,Godwin,SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER FLAT,31,Eclipse,SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER FLAT,32,New Berlin,SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER FLAT,33,New Candy,SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER FLAT,34,Insignia-T,SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER FLAT,35,Insignia-R,SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER FLAT,36,Flammer,SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER FLAT,37,AS-08,SUMMER,CONVYER,LADIES,0,NO_IMAGE,No drawing-anchor image mapped to this article row
SUMMER FLAT,38,AS-09,SUMMER,CONVYER,LADIES,0,NO_IMAGE,No drawing-anchor image mapped to this article row
SUMMER FLAT,39,AS-10,SUMMER,CONVYER,LADIES,0,NO_IMAGE,No drawing-anchor image mapped to this article row
SUMMER FLAT,40,AS-11,SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER FLAT,41,K-VPI,SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER PU,3,STERLING,SUMMER,CONVYER,LADIES,2,HAS_IMAGE,2 images anchored to this row
SUMMER PU,4,BELFAST,SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER PU,5,YONKERS,SUMMER,CONVYER,LADIES,2,HAS_IMAGE,2 images anchored to this row
SUMMER PU,6,"FOSHAN
25601",SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER PU,7,"DHAKA
HN25071",SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER PU,8,"FIJI
HN25181",SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER PU,9,"COMFORTY
HN23963",SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER PU,10,"CHICAGO
25606",SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER PU,11,JAKARTA,SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER PU,12,"CAIRO
HN25150",SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER PU,13,JASPER,SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER PU,14,"ROSE
HN23508",SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER PU,15,"KINIYA
7218",SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER PU,16,BUSAN 25600 8498/8670,SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER PU,17,"DURBAN
HN25377",SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER PU,18,"WARI
21038",SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER PU,19,"FLORA
23363",SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER PU,20,"CLIFTON
GP83",SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER PU,21,KIPP,SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER PU,22,PAEROA,SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER PU,23,Brooks,SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER PU,24,PISA,SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER PU,25,APRICOT,SUMMER,CONVYER,LADIES,2,HAS_IMAGE,2 images anchored to this row
SUMMER PU,26,BRIN,SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER PU,27,TORINO,SUMMER,CONVYER,LADIES,2,HAS_IMAGE,2 images anchored to this row
SUMMER PU,28,KERONA,SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER PU,29,COMO,SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER PU,30,SOLARIS,SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER PU,31,TOKYO,SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER PU,32,PREZI,SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER PU,33,LOTUS,SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER PU,34,QUARK,SUMMER,CONVYER,KIDS,1,HAS_IMAGE,
SUMMER PU,35,SELFORD,SUMMER,CONVYER,LADIES,2,HAS_IMAGE,2 images anchored to this row
SUMMER PU,36,HN-22930,SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER PU,37,H002,SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
SUMMER PU,38,H004,SUMMER,CONVYER,LADIES,1,HAS_IMAGE,
